ds,temp,temp_min,temp_max
2023-01-01,12.485000000000001,10.945000000000002,15.000000000000002
2023-01-02,10.235000000000001,6.71,13.23
2023-01-03,7.290000000000001,4.930000000000001,10.005
2023-01-04,9.070000000000002,6.935000000000001,11.020000000000001
2023-01-05,10.565000000000001,8.695000000000002,12.000000000000002
2023-01-06,9.890000000000002,8.430000000000001,11.830000000000002
2023-01-07,8.815000000000003,6.205000000000001,11.115000000000002
2023-01-08,8.690000000000003,7.51,10.190000000000003
2023-01-09,6.400000000000001,4.770000000000001,8.420000000000002
2023-01-10,6.350000000000001,2.9400000000000004,10.085000000000003
2023-01-11,8.830000000000002,6.485000000000001,11.020000000000001
2023-01-12,8.96,7.010000000000001,10.865000000000002
2023-01-13,8.580000000000002,6.555000000000001,10.805000000000001
2023-01-14,8.635000000000003,5.73,11.07
2023-01-15,6.38,3.925,9.490000000000002
2023-01-16,4.7700000000000005,1.5000000000000002,6.880000000000001
2023-01-17,2.48,0.15000000000000016,4.4
2023-01-18,1.0950000000000002,-1.3500000000000003,3.6500000000000004
2023-01-19,0.5900000000000002,-2.1550000000000002,3.8400000000000003
2023-01-20,0.6450000000000001,-1.86,3.9650000000000003
2023-01-21,0.7500000000000001,-1.9400000000000002,3.4450000000000007
2023-01-22,-0.525,-2.7050000000000005,1.6050000000000002
2023-01-23,0.9250000000000002,-1.3150000000000002,2.9950000000000006
2023-01-24,2.1500000000000004,-0.09000000000000004,4.420000000000001
2023-01-25,1.7000000000000002,0.18999999999999997,3.2550000000000003
2023-01-26,1.9900000000000002,-0.6050000000000001,3.9
2023-01-27,3.075,1.5900000000000003,4.8500000000000005
2023-01-28,2.4100000000000006,-0.10000000000000002,4.130000000000001
2023-01-29,0.8000000000000002,-2.0600000000000005,4.080000000000001
2023-01-30,2.5300000000000002,-0.5500000000000003,5.370000000000001
2023-01-31,3.835,1.0000000000000002,6.88
2023-02-01,5.8950000000000005,4.12,8.42
2023-02-02,5.71,3.185,8.820000000000002
2023-02-03,6.075000000000001,3.515,8.97
2023-02-04,7.015000000000001,4.955000000000001,9.840000000000002
2023-02-05,6.575,4.4750000000000005,8.825000000000001
2023-02-06,3.9200000000000004,1.3200000000000003,7.3950000000000005
2023-02-07,2.2350000000000003,-0.45999999999999996,6.700000000000001
2023-02-08,1.3950000000000002,-2.2350000000000003,6.965000000000001
2023-02-09,1.4000000000000001,-3.2800000000000002,6.950000000000001
2023-02-10,2.35,-1.495,7.590000000000001
2023-02-11,3.0450000000000004,-1.495,9.375000000000002
2023-02-12,4.915000000000001,1.4550000000000003,10.540000000000001
2023-02-13,4.765000000000001,-0.36000000000000004,11.600000000000003
2023-02-14,5.135000000000001,0.24000000000000002,12.835
2023-02-15,5.565,1.1200000000000003,11.700000000000003
2023-02-16,6.54,1.5800000000000003,11.455
2023-02-17,9.630000000000004,6.7700000000000005,13.535000000000002
2023-02-18,9.790000000000001,7.12,12.965000000000002
2023-02-19,8.710000000000003,5.345000000000001,11.915000000000001
2023-02-20,6.910000000000001,2.2,13.100000000000003
2023-02-21,7.915000000000001,2.555,15.070000000000002
2023-02-22,8.085,5.425000000000001,11.050000000000002
2023-02-23,7.355,4.94,10.185
2023-02-24,6.88,4.255000000000001,9.975000000000001
2023-02-25,4.920000000000001,1.3350000000000002,7.8100000000000005
2023-02-26,2.0850000000000004,-0.555,4.530000000000001
2023-02-27,1.6200000000000003,-1.2,5.525000000000001
2023-02-28,1.0150000000000003,-1.9800000000000002,4.485000000000001
2023-03-01,1.7400000000000004,-2.2300000000000004,6.765000000000001
2023-03-02,2.7300000000000004,-1.285,8.195000000000002
2023-03-03,3.745,-0.13499999999999993,9.275
2023-03-04,3.7500000000000004,-0.25499999999999995,8.305000000000001
2023-03-05,4.200000000000001,1.28,7.7
2023-03-06,3.35,-0.060000000000000005,7.1400000000000015
2023-03-07,4.19,0.975,7.550000000000001
2023-03-08,8.390000000000002,3.7750000000000004,12.890000000000002
2023-03-09,10.450000000000003,7.820000000000001,14.48
2023-03-10,8.340000000000002,5.3950000000000005,11.3
2023-03-11,6.8100000000000005,4.475000000000001,9.845000000000002
2023-03-12,10.405000000000003,7.55,13.855000000000002
2023-03-13,12.520000000000001,9.32,17.5
2023-03-14,8.620000000000003,4.590000000000001,11.22
2023-03-15,6.215000000000001,2.5200000000000005,10.63
2023-03-16,9.540000000000003,4.130000000000002,16.040000000000003
2023-03-17,11.200000000000003,7.635000000000001,16.085000000000004
2023-03-18,10.255000000000003,6.840000000000001,14.240000000000002
2023-03-19,9.325000000000001,6.410000000000001,12.415000000000001
2023-03-20,8.090000000000002,2.8400000000000003,12.790000000000001
2023-03-21,10.140000000000002,6.155000000000001,15.13
2023-03-22,10.865,7.175000000000002,14.875000000000002
2023-03-23,12.355,9.825000000000001,15.540000000000001
2023-03-24,11.620000000000003,8.745000000000001,14.505000000000003
2023-03-25,9.980000000000002,7.015000000000001,13.685
2023-03-26,9.275000000000002,7.025,12.195000000000002
2023-03-27,6.795000000000001,2.5200000000000005,10.040000000000001
2023-03-28,6.905,1.2300000000000002,12.66
2023-03-29,12.825000000000001,7.1000000000000005,19.545000000000005
2023-03-30,13.07,10.635000000000002,16.150000000000002
2023-03-31,11.390000000000002,8.785000000000002,14.33
2023-04-01,9.370000000000001,7.265000000000001,12.615000000000002
2023-04-02,8.220000000000002,5.465000000000002,10.81
2023-04-03,7.295000000000002,3.6050000000000004,11.060000000000002
2023-04-04,5.83,1.1350000000000002,11.035000000000002
2023-04-05,6.39,-0.37499999999999994,12.625000000000002
2023-04-06,8.545000000000002,4.620000000000001,12.955
2023-04-07,8.495000000000003,3.5300000000000002,14.265000000000002
2023-04-08,9.320000000000002,4.12,14.790000000000001
2023-04-09,11.180000000000001,5.605,17.410000000000004
2023-04-10,11.705000000000002,6.880000000000001,16.480000000000004
2023-04-11,10.660000000000002,8.005,13.63
2023-04-12,9.795000000000002,6.805000000000001,12.745000000000001
2023-04-13,7.645000000000001,4.510000000000001,11.585000000000003
2023-04-14,7.63,3.455,12.480000000000002
2023-04-15,9.620000000000001,6.900000000000001,13.435000000000002
2023-04-16,8.940000000000001,5.115,13.235000000000001
2023-04-17,9.900000000000002,5.665,14.840000000000002
2023-04-18,10.480000000000002,6.365000000000001,14.770000000000003
2023-04-19,12.445000000000002,7.1499999999999995,18.115000000000002
2023-04-20,9.980000000000002,5.590000000000001,14.385
2023-04-21,10.155000000000003,4.680000000000001,16.055000000000007
2023-04-22,11.905,8.150000000000002,16.265000000000004
2023-04-23,11.585000000000003,8.58,15.360000000000001
2023-04-24,10.435,7.400000000000001,14.070000000000002
2023-04-25,9.650000000000002,6.945000000000001,12.585
2023-04-26,10.645000000000001,6.905000000000001,14.845000000000002
2023-04-27,13.38,7.655000000000001,17.945000000000004
2023-04-28,16.165000000000003,12.635000000000003,20.930000000000007
2023-04-29,14.085000000000003,10.47,18.030000000000005
2023-04-30,13.435000000000002,9.495000000000001,17.565
2023-05-01,13.13,9.975000000000003,17.205000000000002
2023-05-02,12.985000000000001,7.3100000000000005,18.500000000000004
2023-05-03,14.475000000000003,8.430000000000001,20.740000000000006
2023-05-04,16.12,11.100000000000001,21.835
2023-05-05,14.975000000000003,11.170000000000002,18.850000000000005
2023-05-06,15.840000000000002,10.850000000000001,21.17
2023-05-07,15.26,11.840000000000002,19.315
2023-05-08,14.550000000000002,10.540000000000001,18.525000000000002
2023-05-09,14.175,11.795000000000002,17.315000000000005
2023-05-10,12.250000000000002,9.800000000000002,15.410000000000002
2023-05-11,11.9,8.51,15.625000000000002
2023-05-12,11.645000000000001,7.625000000000001,15.895000000000003
2023-05-13,13.725,9.995000000000001,18.045
2023-05-14,13.850000000000001,8.765,18.790000000000003
2023-05-15,13.235000000000001,9.735000000000001,17.155
2023-05-16,11.570000000000002,8.230000000000002,15.325000000000003
2023-05-17,11.510000000000002,7.055000000000001,15.860000000000001
2023-05-18,12.215,7.58,16.875000000000004
2023-05-19,13.240000000000002,7.840000000000001,18.320000000000004
2023-05-20,14.685,10.230000000000002,19.345000000000002
2023-05-21,15.965,11.550000000000002,20.970000000000002
2023-05-22,16.485000000000003,11.515000000000002,21.415000000000003
2023-05-23,16.220000000000002,12.195,20.430000000000003
2023-05-24,14.695000000000002,10.025000000000002,19.925
2023-05-25,14.885000000000002,9.935,20.095000000000002
2023-05-26,17.300000000000004,11.200000000000001,23.255000000000003
2023-05-27,18.815,12.845000000000002,24.855
2023-05-28,19.585000000000004,13.860000000000001,25.485000000000003
2023-05-29,19.145000000000003,13.510000000000003,25.095000000000002
2023-05-30,18.400000000000002,12.755000000000003,24.370000000000005
2023-05-31,18.960000000000004,12.810000000000002,24.905
2023-06-01,20.135000000000005,14.160000000000002,26.050000000000004
2023-06-02,17.700000000000003,11.835000000000003,23.160000000000007
