ds,yhat,yhat_lower,yhat_upper
2026-07-23,45608.74333866744,43598.73673263766,47445.40976889966
2026-07-24,45471.4889385554,43614.718999026816,47452.77423294439
2026-07-25,40503.71049037124,38705.3429298199,42647.60624375917
2026-07-26,37846.17420670736,36109.73980802648,39868.29895506141
2026-07-27,44271.902594365034,42297.59687821461,46145.88555000906
2026-07-28,46207.446613917265,44245.01711925941,48294.14939374218
2026-07-29,48896.97065488864,46899.92261086443,50940.57076178718
2026-07-30,47595.51415374619,45813.385403367545,49634.712872136064
2026-07-31,46404.65349407327,44390.61242023894,48293.720735337294
2026-08-01,43571.31565901305,41644.18491175365,45525.046842914584
2026-08-02,41029.58080855412,39119.27859396713,42998.37425130391
2026-08-03,43826.49218627087,41908.964634227144,45626.14186748845
2026-08-04,43738.34225115293,41709.89579350535,45711.20296872381
2026-08-05,46307.07724633637,44368.07589922795,48204.10607859215
2026-08-06,44708.87501620563,42587.818643867366,46607.316316008415
2026-08-07,47204.18756349045,45313.6956963069,49265.5846772822
2026-08-08,37303.542815272565,35352.77667419778,39301.105483682266
2026-08-09,37100.86250504969,35172.41574249943,39080.741811252534
2026-08-10,42686.054028351704,40799.29704713179,44686.5164756377
2026-08-11,43435.36456655417,41371.263525586335,45276.60025075938
2026-08-12,43839.967686602824,41755.76637095953,45751.33440580191
2026-08-13,43782.82702195103,41832.81326162841,45693.46535024145
2026-08-14,43156.060150231846,41146.47441734189,45146.94636124914
2026-08-15,34371.9104403806,32264.436507018952,36286.019279532804
2026-08-16,37478.900140316466,35492.138498680906,39321.82955154283
2026-08-17,43065.01729533208,41030.0817250639,44996.98944378399
2026-08-18,43693.83819330246,41873.447071928436,45673.03855893254
2026-08-19,43919.26575944779,41889.08536132113,45760.60438694737
2026-08-20,43654.509115668436,41671.17171009103,45741.17624926217
2026-08-21,42814.407121801625,40952.325386681165,44727.984916454996
