ds,yhat,yhat_lower,yhat_upper
2026-07-20,43866.67986410907,41945.68580653051,45801.67397701595
2026-07-21,45033.4202512874,43036.154619542285,47073.87806284019
2026-07-22,45462.72383821692,43626.84105863869,47578.72825221097
2026-07-23,45121.17756932832,43245.93235360806,47154.721034001785
2026-07-24,45418.857509107926,43424.64270882926,47297.7034159782
2026-07-25,40591.22902940784,38592.821211095295,42408.993451569266
2026-07-26,37543.35398772318,35523.271491598396,39634.065734279815
2026-07-27,43648.66271148907,41700.91784366881,45702.44817782031
2026-07-28,43803.97832615561,41817.88468900724,45897.01655768675
2026-07-29,44369.6322390292,42416.18224708895,46346.45939734762
2026-07-30,43303.50076322168,41259.192221861325,45216.80947550367
2026-07-31,42501.94431057929,40411.326487359256,44461.05508779788
2026-08-01,39504.107275760805,37575.44588086798,41650.53387025972
2026-08-02,39053.91977541725,37077.72061400792,41071.52915065009
2026-08-03,45312.38126392138,43468.9492560004,47199.48459821362
2026-08-04,46813.88335507451,44917.911348616675,48631.150057059764
2026-08-05,42189.697800686496,40093.371974929745,44136.44429267497
2026-08-06,43479.205908456956,41484.861445542956,45448.810262928375
2026-08-07,42764.93534811145,40824.67724948859,44838.13014785935
2026-08-08,38565.820546193536,36624.4864455253,40551.65901999655
2026-08-09,37076.86526068989,34977.74022120377,38986.50995838156
2026-08-10,42666.614849249185,40703.81295432016,44715.87560102986
2026-08-11,43405.06617140084,41203.01182552334,45407.95181452677
2026-08-12,43792.2399543317,41882.77905966466,45720.37107170606
2026-08-13,43737.33321020032,41746.93957249795,45621.95211487628
2026-08-14,43107.44973257011,41217.14823086567,45147.8024613131
2026-08-15,34370.52467081943,32198.126542529335,36277.60771577565
2026-08-16,37465.89933506855,35611.25875474942,39615.75895983436
2026-08-17,43056.6142206972,41065.06189955641,45011.725663166704
2026-08-18,43675.93122801004,41836.79576497843,45872.65342969913
