ds,yhat,yhat_lower,yhat_upper
2026-07-02,45855.37537078487,43851.68644581754,47960.461131534394
2026-07-03,46651.58562378721,44663.74755336739,48483.31228146047
2026-07-04,42654.72725713136,40624.60850421015,44593.60546466869
2026-07-05,42083.02966185554,40117.494273040815,44089.958650515524
2026-07-06,48421.381458237556,46491.188359818516,50396.80699133833
2026-07-07,46484.38844517578,44598.912721402245,48391.866107896094
2026-07-08,45378.91373215475,43534.36527421899,47365.146025771515
2026-07-09,46820.91001482698,44843.70893256796,49017.800851439475
2026-07-10,47537.733148768275,45531.1030330471,49539.6114366092
2026-07-11,43633.028632434725,41608.7792039082,45550.59912420853
2026-07-12,42566.63725068312,40630.81975802209,44548.36026499701
2026-07-13,48393.9626460542,46428.94533052057,50362.33933299881
2026-07-14,44451.21071316999,42386.480600274896,46480.85519976321
2026-07-15,47810.84361822937,45767.83305417976,49692.29345477711
2026-07-16,48237.94887769534,46293.12307495995,50169.753126549236
2026-07-17,45361.01287098712,43309.00065602937,47428.98619821987
2026-07-18,39612.5012951416,37725.9599969003,41534.90549429367
2026-07-19,38470.777404017004,36442.345247534155,40438.99530934466
2026-07-20,43857.06086321939,41985.17368229964,45731.21505057939
2026-07-21,44348.34873302899,42298.47255063119,46343.05629016164
2026-07-22,44546.04680130088,42590.62282681816,46458.49995150887
2026-07-23,44347.6981950464,42377.166818994796,46250.015145941485
2026-07-24,43563.662069712576,41565.1668063456,45371.122661262954
2026-07-25,39300.491162341394,37400.83379734151,41219.39403049805
2026-07-26,37581.72827385727,35653.51252640522,39553.53768410826
2026-07-27,42912.03427273947,40831.233151879635,44906.45142007235
2026-07-28,43384.31043779385,41324.243951529264,45271.30854994986
2026-07-29,43558.67557755297,41671.581650472974,45482.44013065429
2026-07-30,43336.07044059231,41452.648783882585,45485.728482530474
2026-07-31,42556.53854823548,40530.46583271893,44391.25646405561
