ds,yhat,yhat_lower,yhat_upper
2026-06-19,48106.7946161355,46112.59405536838,50029.3459934554
2026-06-20,43206.987539158654,41305.38207430651,44979.29499939251
2026-06-21,44041.83101695937,42036.10302253499,45957.10879495245
2026-06-22,50866.503733899306,48985.87438064649,52772.92702724332
2026-06-23,51046.35659812502,49179.33516500123,52958.73271689805
2026-06-24,50725.972960509374,48774.98076701392,52705.03616741159
2026-06-25,49052.1443573285,46990.87084749475,51013.0578876876
2026-06-26,48635.79897746272,46643.29361137568,50540.091169652704
2026-06-27,45437.47735705813,43559.84145174237,47322.55317361081
2026-06-28,44533.75424087212,42649.14056297372,46463.4004373193
2026-06-29,49159.244247610935,47138.40589919201,51107.9791067584
2026-06-30,46162.884655773654,44230.1411058086,48130.343577140935
2026-07-01,45445.91089174658,43402.74773826462,47497.02923836066
2026-07-02,45730.528240545325,43636.810859807614,47754.11924472212
2026-07-03,48406.95085077187,46414.01989837462,50446.3137274318
2026-07-04,40592.28784471115,38723.83000919281,42445.89669936945
2026-07-05,39888.90715686893,38063.69977619556,41997.00075372748
2026-07-06,45312.11774561312,43435.46483099178,47240.63206539859
2026-07-07,45849.93065711309,43940.02114805061,47778.26430364757
2026-07-08,46100.6762991131,44138.4453864386,48091.18894244599
2026-07-09,45867.46000657724,43874.526971112595,47906.281783375736
2026-07-10,45143.26973855219,43242.27446507427,47116.20625642422
2026-07-11,41062.06171357875,39208.571163603534,43017.51440023811
2026-07-12,39529.60061342734,37437.731448661834,41465.35134200717
2026-07-13,45031.93289635722,42943.32549090872,47050.85477797013
2026-07-14,41961.56790423304,39959.74441364853,43771.78819563319
2026-07-15,45810.67672039628,43798.770245643194,47611.49138103411
2026-07-16,45576.20368009888,43707.60885841509,47391.104636148615
2026-07-17,44729.828611855366,42699.4569983954,46562.32598671218
2026-07-18,40459.478293590524,38632.42050127491,42411.1391858343
