ds,yhat,yhat_lower,yhat_upper
2026-06-30,46812.04642525897,44810.401931237306,48835.73252668934
2026-07-01,46510.07572172938,44511.140074939336,48502.00387877738
2026-07-02,46570.29556261672,44545.31948388501,48564.22820520151
2026-07-03,46547.40876699337,44650.19527120762,48512.63170418423
2026-07-04,43353.985396292905,41415.62603511951,45254.45177438813
2026-07-05,43283.25014015299,41362.01178360772,45304.97535834657
2026-07-06,49614.4097919973,47584.020290798726,51671.58102742072
2026-07-07,47983.93255761312,45841.88386913667,49823.571916947
2026-07-08,48851.757954076595,46852.38049700373,50833.16384719806
2026-07-09,49702.635112506774,47686.32622845201,51521.075118570276
2026-07-10,49282.88343658887,47231.42823732987,51304.18838028202
2026-07-11,44004.16054775695,42073.03210916747,45885.27779246809
2026-07-12,40427.196673862214,38538.59660009147,42445.50300551609
2026-07-13,47014.94004819831,45195.47982043837,48975.421829815416
2026-07-14,44416.60782820527,42352.43720240818,46251.97134640277
2026-07-15,45277.9148112919,43308.00929650914,47227.36977146705
2026-07-16,45243.164465218586,43364.46305229463,47077.04642762693
2026-07-17,44610.897860529454,42574.58432643156,46641.82415588103
2026-07-18,40209.45739692661,38225.10890180726,42099.34949705145
2026-07-19,38470.255542004845,36415.38163399319,40446.86007105261
2026-07-20,43856.53900120723,41849.253753227335,45729.97958960968
2026-07-21,44347.826871016834,42510.64625433857,46362.85604960393
2026-07-22,44545.52493928872,42652.842298809424,46459.6455530516
2026-07-23,44347.17633303425,42456.488578420576,46242.37688914075
2026-07-24,43563.140207700424,41597.90897156885,45487.25869242262
2026-07-25,39299.96930032924,37561.657842891174,41319.33200147923
2026-07-26,37581.206411845116,35497.90672638961,39527.72211441694
2026-07-27,42911.512410727315,40826.52976704902,44888.24196448332
2026-07-28,43384.075811643175,41507.879460322256,45392.39102282527
2026-07-29,43558.34348354523,41655.07835009943,45592.07970920107
