ds,yhat,yhat_lower,yhat_upper
2026-04-17,45380.23602256108,43359.87543102337,47324.371134490924
2026-04-18,40714.95832886882,38719.20825657585,42686.23708978363
2026-04-19,39371.26047670875,37423.91698119451,41310.8876082827
2026-04-20,45239.31047428703,43243.45359632049,47307.19044605428
2026-04-21,46221.84459475605,44221.009976751506,48228.27619421322
2026-04-22,45125.9468872619,43124.39061251889,47180.95747561718
2026-04-23,44118.19309190118,42225.293687098354,46033.08290814909
2026-04-24,43458.05142443064,41511.83714212253,45373.05601140554
2026-04-25,39430.83135038643,37401.30361520298,41384.402408171496
2026-04-26,37493.094393400825,35526.896936507525,39421.86819709046
2026-04-27,42500.733715076596,40578.505653173976,44519.37394324804
2026-04-28,43064.37379721763,41116.45671612746,45221.185189055686
2026-04-29,43305.71818422159,41505.10162470739,45257.87068328803
2026-04-30,43018.475793991434,41009.378576204355,45180.65312208675
2026-05-01,36931.72231397721,34897.70187978434,38966.252914388904
2026-05-02,38845.146187746046,36757.392078642944,40901.224422325584
2026-05-03,37238.516508336776,35436.72036209492,39224.59384312988
2026-05-04,44297.55879759144,42177.98293185983,46249.22506427007
2026-05-05,45898.04883228156,43758.46996583549,47913.26513364363
2026-05-06,47201.29879979494,45113.705949409625,49112.08510058432
2026-05-07,46949.34889927731,44902.45289653092,48865.763896132084
2026-05-08,39528.15918052032,37512.29695789765,41490.40882758011
2026-05-09,39140.48434460667,37145.306982914044,41175.980047394514
2026-05-10,37353.93879940891,35280.50954110386,39458.5054954624
2026-05-11,45109.78924369617,43024.8008093901,46996.45447314637
2026-05-12,47842.99110792375,45827.85275573173,49905.968884664486
2026-05-13,47527.43480953929,45464.87208315312,49672.81340827064
2026-05-14,43873.21587771806,41986.56408705071,45797.41881307045
2026-05-15,50570.867761387686,48574.866286765675,52438.766374165294
2026-05-16,45467.181717864216,43410.013708317165,47479.154126250316
