ds,yhat,yhat_lower,yhat_upper
2026-07-09,51059.87678023632,49117.47395047326,53040.36808596279
2026-07-10,50151.085174160085,48276.878782599146,52114.80550280005
2026-07-11,46498.964634203294,44497.104726615835,48263.75430291847
2026-07-12,44957.81788016168,43112.75370288416,46943.533973907535
2026-07-13,50641.45107097674,48680.432883882444,52710.3485331954
2026-07-14,46931.73552775606,44784.58667215216,48761.521064558285
2026-07-15,50610.57562862017,48686.73564405431,52763.239620324865
2026-07-16,46695.05404879387,44614.30193039777,48857.04719787399
2026-07-17,44224.91477949131,42112.93609451093,46235.7757910286
2026-07-18,40473.102151274645,38575.229398020376,42394.51158304058
2026-07-19,37767.45988039943,35727.62788170856,39873.12033801634
2026-07-20,43418.09862982057,41428.62556419687,45254.035366008226
2026-07-21,44357.758660691485,42309.65652822304,46423.55696091161
2026-07-22,44354.08117697137,42433.99583920832,46349.073583854086
2026-07-23,44227.582413748314,42093.98022273079,46108.80869245294
2026-07-24,42868.75046738065,40794.53801750779,44854.96040342478
2026-07-25,39560.87753447684,37526.353402178385,41644.47270048736
2026-07-26,37582.495391320175,35423.59685317685,39548.339689571076
2026-07-27,42900.80965257054,40904.14938980123,44778.80813061757
2026-07-28,43369.03310486231,41524.42813755729,45394.49802363331
2026-07-29,43552.90702567646,41553.14673208491,45405.530932836744
2026-07-30,43325.26826544152,41252.77490588073,45352.75885397086
2026-07-31,42551.52475403176,40644.71951313195,44512.783850351676
2026-08-01,38336.61540099304,36185.33572741014,40320.97372804621
2026-08-02,36833.284909813054,34660.533693578065,38763.898974968564
2026-08-03,42375.19791865105,40460.577548204186,44443.82662858483
2026-08-04,43053.08734858059,41171.63313040448,45021.88648084274
2026-08-05,43495.35769754744,41609.49106128119,45459.148009699806
2026-08-06,43468.53766190681,41494.031565828365,45520.15688722357
2026-08-07,42758.3668654853,40695.72464212957,44817.78461923146
