ds,yhat,yhat_lower,yhat_upper
2026-07-16,47895.39749785025,45919.31850186777,49833.57325217044
2026-07-17,46083.51750624283,43988.62474830152,47972.37892545443
2026-07-18,41310.677232778515,39268.98089460197,43189.133215029186
2026-07-19,38643.39123217594,36496.48596729812,40579.95533859966
2026-07-20,43772.47973635015,41770.425519697776,45678.94513190134
2026-07-21,44750.88937386902,42853.820044781634,46728.27714302943
2026-07-22,45032.101896180015,43027.06296236761,47004.050350571815
2026-07-23,44812.10736894426,42945.16684672382,46840.323260692065
2026-07-24,45378.1571492032,43317.519831788646,47282.231267676376
2026-07-25,41221.20785054069,39042.13340366865,43246.847436555625
2026-07-26,37301.36742300872,35218.27225138195,39181.34145814992
2026-07-27,43335.74948049151,41310.124499455575,45395.99704598418
2026-07-28,43841.920872538176,41892.124261235076,45814.717017401934
2026-07-29,43726.01026679967,41826.68329819012,45857.38807742636
2026-07-30,43620.404877089124,41722.301079367004,45631.87274322211
2026-07-31,46166.8934499415,44296.246549176525,48100.491840231916
2026-08-01,37213.368510080305,35168.96203973034,39222.46411513799
2026-08-02,36824.35308786412,34807.375984253755,38695.59535782621
2026-08-03,42371.588766516696,40451.25731609296,44316.98554461952
2026-08-04,43045.39164649292,41114.58151096513,44993.07023102125
2026-08-05,43496.896998326614,41338.1719348046,45490.014217297336
2026-08-06,43469.934422202314,41469.2407721853,45378.9700798079
2026-08-07,42759.094507993614,40925.02800541309,44746.54740257541
2026-08-08,38557.232910110135,36501.52000823108,40545.52917541562
2026-08-09,37062.36165336108,35012.85040694587,39138.25993406845
2026-08-10,42650.841376336364,40661.56681686307,44721.662874950314
2026-08-11,43392.598081916134,41445.30213429567,45471.707017200766
2026-08-12,43788.068199639936,41770.71919776395,45902.48844503305
2026-08-13,43729.32490233758,41555.06652915009,45978.196680622954
2026-08-14,43102.07437577454,41140.46837870353,45146.64874061087
