ds,yhat,yhat_lower,yhat_upper
2026-06-19,47518.913170125954,45474.966543565584,49414.97139262248
2026-06-20,43557.62495612402,41523.74252921275,45525.83439067028
2026-06-21,43454.61272485461,41574.97378676598,45397.247513213646
2026-06-22,50526.68183238531,48696.321945813106,52583.160875047644
2026-06-23,50322.28447373595,48305.89659829194,52392.48652440369
2026-06-24,48067.5533656772,46188.69738431002,50019.97909607784
2026-06-25,48452.9382719411,46450.87657045648,50387.31140035053
2026-06-26,48626.88046683775,46605.326285071336,50580.63100978565
2026-06-27,45806.114173305905,43903.838800524005,47766.04148291773
2026-06-28,42241.22597827112,40450.04286172202,44218.281275827816
2026-06-29,49310.41000762504,47400.6978976533,51211.034842858215
2026-06-30,50209.18567642435,48236.52882889726,52110.69753627115
2026-07-01,49841.50107002868,47849.85881295455,51741.90519219136
2026-07-02,49155.23880046588,47334.32703896673,51120.3686083944
2026-07-03,46900.77863107788,44892.51940262497,48992.405710739156
2026-07-04,42166.25946607752,39996.09078501916,44126.71554506597
2026-07-05,39374.56261977363,37495.00866997414,41319.0065774304
2026-07-06,45322.36452099333,43416.75193972693,47441.30481588736
2026-07-07,45858.99362152071,43795.70797783079,47987.69020571483
2026-07-08,46119.260691878364,44162.30565970445,48141.60170596584
2026-07-09,45886.76758191601,43819.94508546344,47929.108466177575
2026-07-10,45156.342736400366,43055.062561782775,47117.04667229762
2026-07-11,41075.34938689157,38988.92037163035,43145.27588162271
2026-07-12,39541.30166488037,37686.74538113355,41599.199703837854
2026-07-13,45039.150966949805,43093.24418979626,47019.1601167639
2026-07-14,42063.06793091643,40159.46779487405,44135.80471117918
2026-07-15,45825.907638303535,43805.865541437015,47757.353937366235
2026-07-16,45592.08930012177,43630.8256182102,47566.241188928834
2026-07-17,44739.80580698437,42871.57945664601,46670.18113439004
2026-07-18,40339.128349384075,38280.59778252831,42461.55284087599
