ds,yhat,yhat_lower,yhat_upper
2026-07-13,49099.74944030507,46950.96536326399,51097.21167077772
2026-07-14,46593.32369508135,44599.77064151328,48619.41757942866
2026-07-15,49356.88445984294,47359.90245234284,51331.4278638856
2026-07-16,48907.79120343814,46894.97649295195,50882.89182346848
2026-07-17,44804.99392006385,42849.45266124385,46689.94136264821
2026-07-18,41435.270616243106,39538.25950337216,43523.558644749195
2026-07-19,38620.40692186783,36679.60443397044,40559.36985761082
2026-07-20,44524.674987741964,42533.180723029196,46590.92932422679
2026-07-21,45752.567372486476,43615.82506818918,47585.58538680971
2026-07-22,45932.90757373035,43919.0880533361,47804.799651454
2026-07-23,46181.07805249116,44240.12877145742,48162.502594132544
2026-07-24,46456.76745216952,44308.65477290278,48341.58895167666
2026-07-25,42372.25229177463,40328.29912996581,44412.02979659552
2026-07-26,41135.16950711583,39250.74967457284,43250.73732357075
2026-07-27,46383.60844077805,44407.70928708286,48350.33241513606
2026-07-28,49185.36965933437,47270.26923768464,51140.01039532156
2026-07-29,41633.3064480414,39743.96038021923,43661.10293967897
2026-07-30,43325.26826544151,41421.596832864874,45225.06464940818
2026-07-31,42551.52475403176,40518.279753261064,44464.18514590341
2026-08-01,38336.61540099304,36477.50196810592,40319.66468645464
2026-08-02,36833.284909813054,34881.06284032382,38800.005394140375
2026-08-03,42375.19791865104,40464.922875520766,44188.616934963786
2026-08-04,43053.08734858059,41009.850404435696,44932.93585542392
2026-08-05,43495.35769754744,41537.61777466841,45403.409360854086
2026-08-06,43468.53766190681,41692.64196616062,45490.45867017
2026-08-07,42758.3668654853,40895.45246844818,44784.553817916
2026-08-08,38559.49064875124,36551.046444483974,40513.3595077935
2026-08-09,37068.753390522266,35199.23597272825,38976.02245111988
2026-08-10,42652.57946708835,40660.46628932733,44537.85953977119
2026-08-11,43399.22199963298,41390.648124631276,45404.43620586624
