ds,yhat,yhat_lower,yhat_upper
2026-06-16,45794.61042695613,43888.29637975688,47856.89187193314
2026-06-17,46876.15486872082,44916.56551126751,48976.88090117841
2026-06-18,48062.93506938015,46202.55556389764,50100.64540522071
2026-06-19,47035.38480771317,45011.500180587136,48965.36433621455
2026-06-20,43701.16469371774,41678.01915234128,45612.463120224624
2026-06-21,44156.851740665246,42203.230348343895,46132.066983339384
2026-06-22,47133.99817559964,45204.979760937065,48989.64356588454
2026-06-23,45276.90183792297,43351.11548695796,47128.21198637406
2026-06-24,46244.87603306114,44261.16823223623,48256.34684039943
2026-06-25,47412.85023237058,45343.13159908781,49298.419378563594
2026-06-26,46869.93502502187,44846.2846544324,48809.34927422998
2026-06-27,44654.53481396418,42767.30801635323,46548.113393467014
2026-06-28,43869.393825266365,41909.720341621745,45813.26518442726
2026-06-29,48876.281410731106,46757.970287461896,50796.07144661145
2026-06-30,49433.75022396038,47474.00870823175,51266.94375125295
2026-07-01,44662.91036580068,42610.69885814899,46608.41181629019
2026-07-02,46218.28791706875,44202.25902016407,48341.89893888782
2026-07-03,45520.01808902587,43491.223889124274,47468.15530586407
2026-07-04,41450.72747058765,39629.1480805237,43386.89051660078
2026-07-05,39888.90715686893,38009.01112318893,41862.06729342151
2026-07-06,45312.11774561312,43306.06710242014,47130.57152881368
2026-07-07,45849.93065711309,43907.20354558965,47756.0356054608
2026-07-08,46100.6762991131,44312.073808944755,48162.09619762031
2026-07-09,45867.46000657725,44135.752698113945,47854.96333145075
2026-07-10,45143.26973855219,43256.15169744541,47071.74595141132
2026-07-11,41062.06171357875,39215.32753070758,42980.93475598337
2026-07-12,39529.60061342734,37473.15457691634,41486.340039131544
2026-07-13,45031.93289635721,43077.019480533236,47198.79786693717
2026-07-14,41961.56790423304,40023.27344267487,43893.99885498233
2026-07-15,45829.07684273397,43937.1718956746,47772.33932986718
