ds,yhat,yhat_lower,yhat_upper
2026-06-13,40191.94044321156,38381.11736648733,42241.03401140227
2026-06-14,37538.220628937845,35659.270157439576,39562.418217712664
2026-06-15,42982.005489935545,40985.87582098771,45048.815133832824
2026-06-16,45156.190629086086,43087.30004180882,47115.254669111746
2026-06-17,47618.15664367625,45594.905094631016,49578.81129028039
2026-06-18,48483.477341400416,46489.79416753111,50448.757790416275
2026-06-19,47243.58763450035,45437.51139060534,49245.8070973643
2026-06-20,44363.63690499551,42409.28176722021,46363.08353364356
2026-06-21,43416.83193609248,41592.218880359265,45481.539912393564
2026-06-22,50346.66662463778,48363.917712131406,52409.29273518027
2026-06-23,50068.63962160523,48125.77899026431,52013.37815583642
2026-06-24,47756.247213025614,45482.778023577026,49825.630831822535
2026-06-25,47658.52916441453,45641.830834694345,49615.16840455135
2026-06-26,47502.41744279817,45571.74246384772,49502.899186592236
2026-06-27,41852.67390689816,39836.676037975776,43811.50091321787
2026-06-28,40401.79681927845,38477.457756037256,42231.813928789205
2026-06-29,46012.54144803196,44025.98319451303,48004.13950226245
2026-06-30,46681.57867874088,44679.932277901695,48611.51700418577
2026-07-01,47066.97851467883,44962.88385438208,48864.62381971889
2026-07-02,46977.19199396119,44862.35301412185,49041.413000978646
2026-07-03,46303.97941437918,44388.94110589854,48260.12833323474
2026-07-04,42178.187620067496,40250.094127284196,44096.65852456986
2026-07-05,40645.46904543962,38436.92570977674,42648.37064205106
2026-07-06,46171.94091189903,44250.809453403075,48286.24643388575
2026-07-07,46755.04251356716,44812.51167681892,48663.5630860313
2026-07-08,47053.63026304675,45213.946876250484,49002.639582005475
2026-07-09,46876.95070093661,44762.357112255646,48854.729830883516
2026-07-10,46117.55972988657,44051.24820248723,48025.59326055523
2026-07-11,41907.09094235605,39921.319246158804,43881.373564112866
2026-07-12,40291.96585198383,38204.22929322848,42245.40940842484
