ds,yhat,yhat_lower,yhat_upper
2026-07-06,49031.07324180869,46989.15110029291,50955.41941238736
2026-07-07,49988.14735874945,48031.09670074722,52021.89261224502
2026-07-08,49351.79760840089,47299.406007794576,51339.326653437136
2026-07-09,50911.66693593463,48884.979633599265,52745.23315644337
2026-07-10,50332.15537654489,48561.57038429467,52270.13026046937
2026-07-11,45278.03455870324,43358.1930885648,47135.14044136809
2026-07-12,44648.45958092016,42704.79818232267,46599.89773707524
2026-07-13,47244.87710093352,45176.62883246698,49227.16616703353
2026-07-14,42374.557362793,40329.21252817103,44394.74469689611
2026-07-15,46494.316242158726,44715.67017931252,48279.18769601273
2026-07-16,46872.267831040605,45007.70837279348,48793.17874104849
2026-07-17,47564.74389676799,45564.72086617432,49566.58194000316
2026-07-18,43029.62944117111,40826.82127360795,44916.653072470486
2026-07-19,40702.56190816493,38612.18538933842,42612.41452562145
2026-07-20,44368.54405567994,42417.835605796085,46230.11959320533
2026-07-21,42517.600958895,40451.02372583137,44520.619712979475
2026-07-22,45242.04040162465,43211.977386528015,47183.18667978727
2026-07-23,44347.6981950464,42453.641067035394,46381.176809979086
2026-07-24,43563.66206971258,41523.61621951192,45606.8323171002
2026-07-25,39300.491162341394,37262.34954828557,41287.04590499156
2026-07-26,37581.72827385727,35621.47014491094,39632.77540658991
2026-07-27,42912.03427273947,40815.99727292301,44908.406965369264
2026-07-28,43384.31043779385,41395.18628123208,45406.12152234683
2026-07-29,43558.67557755297,41655.19986477434,45517.047467901626
2026-07-30,43336.07044059231,41372.27351501285,45275.33881765903
2026-07-31,42556.53854823548,40472.963852097106,44621.944792645445
2026-08-01,38356.051463449316,36429.00406643966,40443.47129792399
2026-08-02,36852.02960451026,34840.66835769602,38781.25933158284
2026-08-03,42404.500104979976,40473.79654291453,44282.49683278269
2026-08-04,43084.30386101861,41021.187554669916,45072.473515516474
